Year,Country,Geographical Region,Geographical Group,البلد,المجموعة الجغرافية,المنطقة الجغرافية,Value
2018,ARGENTINA,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,الارجنتين,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,0.11
2018,AUSTRALIA,R7-OCEANIA,AUSTRALIA AND NEW ZEALAND,استراليا,أستراليا ونيوزيلندا,R7-أوقيانيسيا,0.47
2018,BANGLADESH,R3-ASIA,SOUTHERN ASIA,بنغلاديش,جنوب آسيا,R3-آسيا,0.49
2018,BELGIUM,R5-EUROPE,WESTERN EUROPE,بلجيكا,أوروبا الغربية,R5-أوروبا,2.86
2018,BRITISH VIRGIN ISLANDS,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,جزر فرجين البريطانية,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,24.67
2018,CHINA,R3-ASIA,EASTERN ASIA,الصين,شرقي آسيا,R3-آسيا,8.13
2018,COMOROS,R2-OTHER ARAB COUNTRIES,SUB-SAHARAN AFRICA,جزر القمر,أفريقيا جنوب الصحراء الكبرى,R2-الدول العربية الأخرى,0.21
2018,CYPRUS,R3-ASIA,WESTERN ASIA,قبرص,غربي آسيا,R3-آسيا,16.69
2018,GIBRALTAR,R5-EUROPE,SOUTHERN EUROPE,جبل طارق,أوروبا الجنوبية,R5-أوروبا,0.0
2018,"HONG KONG, CHINA",R3-ASIA,EASTERN ASIA,هونج كونج,شرقي آسيا,R3-آسيا,27.95
2018,IRAQ,R2-OTHER ARAB COUNTRIES,WESTERN ASIA,الجمهورية العراقية,غربي آسيا,R2-الدول العربية الأخرى,7.12
2018,ISRAEL,R3-ASIA,WESTERN ASIA,إسرائيل,غربي آسيا,R3-آسيا,-0.08
2018,JORDAN,R2-OTHER ARAB COUNTRIES,WESTERN ASIA,الاردن,غربي آسيا,R2-الدول العربية الأخرى,-2.03
2018,KUWAIT,R1-GCC,COUNTRIES OF ARABIAN GULF,دولة الكويت,دول الخليج العربي,R1-دول مجلس التعاون الخليجي,3337.88
2018,LATVIA,R5-EUROPE,NORTHERN EUROPE,لاتيفيا,أوروبا الشمالية,R5-أوروبا,0.0
2018,MACEDONIA,R5-EUROPE,SOUTHERN EUROPE,مقدونيا,أوروبا الجنوبية,R5-أوروبا,0.0
2018,MOZAMBIQUE,R6-AFRICA,SUB-SAHARAN AFRICA,موزمبيق,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,0.0
2018,PANAMA,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,بنما,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,5.04
2018,PERU,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,بيرو,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,0.0
2018,PORTUGAL,R5-EUROPE,SOUTHERN EUROPE,البرتغال,أوروبا الجنوبية,R5-أوروبا,-0.01
2018,RUSSIAN FEDERATION,R5-EUROPE,EASTERN EUROPE,روسيا الاتحادية,أوروبا الشرقية,R5-أوروبا,0.16
2018,SERBIA,R5-EUROPE,SOUTHERN EUROPE,جمهورية صربيا,أوروبا الجنوبية,R5-أوروبا,0.01
2018,SOUTH AFRICA,R6-AFRICA,SUB-SAHARAN AFRICA,جمهورية افريقيا الجنوبية,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,-0.11
2018,SRI LANKA,R3-ASIA,SOUTHERN ASIA,سريلانكا (سيلان),جنوب آسيا,R3-آسيا,0.12
2018,SUDAN,R2-OTHER ARAB COUNTRIES,NORTH AFRICA,السودان,أفريقيا الشمالية,R2-الدول العربية الأخرى,0.47
2018,SWAZILAND,R6-AFRICA,SUB-SAHARAN AFRICA,سوازيلند,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,-0.48
2018,SWEDEN,R5-EUROPE,NORTHERN EUROPE,السويد,أوروبا الشمالية,R5-أوروبا,0.01
2018,TURKEY,R3-ASIA,WESTERN ASIA,تركيا,غربي آسيا,R3-آسيا,179.5
2018,"VENEZUELA, BOLIVARIAN REPUBLIC OF",R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,فنزويلا,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,0.0
2018,VIETNAM,R3-ASIA,SOUTH-EASTERN ASIA,فيتنام,جنوب شرقي آسيا,R3-آسيا,0.0
2018,ZIMBABWE,R6-AFRICA,SUB-SAHARAN AFRICA,زمبابوي,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,
2019,AUSTRALIA,R7-OCEANIA,AUSTRALIA AND NEW ZEALAND,استراليا,أستراليا ونيوزيلندا,R7-أوقيانيسيا,0.42
2019,BERMUDA,R4-AMERICAS,NORTHERN AMERICA,برمودا,أمريكا الشمالية,R4-أمريكا,-4.95
2019,CAYMAN ISLANDS,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,جزر كيمان,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,416.63
2019,CHINA,R3-ASIA,EASTERN ASIA,الصين,شرقي آسيا,R3-آسيا,9.02
2019,CZECHIA,R5-EUROPE,EASTERN EUROPE,تشيك,أوروبا الشرقية,R5-أوروبا,0.17
2019,DENMARK,R5-EUROPE,NORTHERN EUROPE,الدنمارك,أوروبا الشمالية,R5-أوروبا,54.69
2019,FINLAND,R5-EUROPE,NORTHERN EUROPE,فنلندا,أوروبا الشمالية,R5-أوروبا,81.13
2019,GERMANY,R5-EUROPE,WESTERN EUROPE,ألمانيا,أوروبا الغربية,R5-أوروبا,151.57
2019,GREECE,R5-EUROPE,SOUTHERN EUROPE,اليونان,أوروبا الجنوبية,R5-أوروبا,0.31
2019,INDIA,R3-ASIA,SOUTHERN ASIA,الهند,جنوب آسيا,R3-آسيا,418.77
2019,IRAQ,R2-OTHER ARAB COUNTRIES,WESTERN ASIA,الجمهورية العراقية,غربي آسيا,R2-الدول العربية الأخرى,7.63
2019,IRELAND,R5-EUROPE,NORTHERN EUROPE,ايرلندا,أوروبا الشمالية,R5-أوروبا,48.0
2019,ISLE OF MAN,R5-EUROPE,NORTHERN EUROPE,جزيرة مان,غربي آسيا,R3-آسيا,1.19
2019,ISRAEL,R3-ASIA,WESTERN ASIA,إسرائيل,غربي آسيا,R3-آسيا,0.0
2019,JERSEY,R5-EUROPE,NORTHERN EUROPE,جيرزي,أوروبا الشمالية,R5-أوروبا,149.78
2019,KUWAIT,R1-GCC,COUNTRIES OF ARABIAN GULF,دولة الكويت,دول الخليج العربي,R1-دول مجلس التعاون الخليجي,3515.54
2019,LATVIA,R5-EUROPE,NORTHERN EUROPE,لاتيفيا,أوروبا الشمالية,R5-أوروبا,0.0
2019,LIBYA,R2-OTHER ARAB COUNTRIES,NORTH AFRICA,ليبيا,أفريقيا الشمالية,R2-الدول العربية الأخرى,1177.03
2019,LIECHTENSTEIN,R5-EUROPE,WESTERN EUROPE,ليختنشتاين,أوروبا الغربية,R5-أوروبا,0.0
2019,MACEDONIA,R5-EUROPE,SOUTHERN EUROPE,مقدونيا,أوروبا الجنوبية,R5-أوروبا,0.0
2019,MALAYSIA,R3-ASIA,SOUTH-EASTERN ASIA,ماليزيا,جنوب شرقي آسيا,R3-آسيا,-0.47
2019,MAURITIUS,R6-AFRICA,SUB-SAHARAN AFRICA,موريس,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,
2019,NEW ZEALAND,R7-OCEANIA,AUSTRALIA AND NEW ZEALAND,نيوزليندا,أستراليا ونيوزيلندا,R7-أوقيانيسيا,0.89
2019,PALESTINE,R2-OTHER ARAB COUNTRIES,WESTERN ASIA,فلسطين,غربي آسيا,R2-الدول العربية الأخرى,0.95
2019,PHILIPPINES,R3-ASIA,SOUTH-EASTERN ASIA,الفلبين,جنوب شرقي آسيا,R3-آسيا,-0.1
2019,ROMANIA,R5-EUROPE,EASTERN EUROPE,رومانيا,أوروبا الشرقية,R5-أوروبا,0.0
2019,SERBIA,R5-EUROPE,SOUTHERN EUROPE,جمهورية صربيا,أوروبا الجنوبية,R5-أوروبا,0.01
2019,SEYCHELLES,R6-AFRICA,SUB-SAHARAN AFRICA,سيشل,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,0.11
2019,SLOVAKIA,R5-EUROPE,EASTERN EUROPE,سلوفاكيا,أوروبا الشرقية,R5-أوروبا,0.0
2019,SOUTH AFRICA,R6-AFRICA,SUB-SAHARAN AFRICA,جمهورية افريقيا الجنوبية,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,-0.11
2019,SOUTH KOREA,R3-ASIA,EASTERN ASIA,كوريا الجنوبية,شرقي آسيا,R3-آسيا,14.46
2019,SPAIN,R5-EUROPE,SOUTHERN EUROPE,اسبانيا,أوروبا الجنوبية,R5-أوروبا,0.02
2019,SWITZERLAND,R5-EUROPE,WESTERN EUROPE,سويسرا,أوروبا الغربية,R5-أوروبا,-18.74
2019,TUNISIA,R2-OTHER ARAB COUNTRIES,NORTH AFRICA,تونس,أفريقيا الشمالية,R2-الدول العربية الأخرى,-0.05
2019,UZBEKISTAN,R3-ASIA,CENTRAL ASIA,اوزبكستان,دول آسيا الوسطى,R3-آسيا,0.0
2019,ZIMBABWE,R6-AFRICA,SUB-SAHARAN AFRICA,زمبابوي,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,
2020,ALGERIA,R2-OTHER ARAB COUNTRIES,NORTH AFRICA,الجزائر,أفريقيا الشمالية,R2-الدول العربية الأخرى,-0.01
2020,AUSTRIA,R5-EUROPE,WESTERN EUROPE,النمسا,أوروبا الغربية,R5-أوروبا,1.16
2020,BELIZE,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,بليز,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,
2020,BRITISH VIRGIN ISLANDS,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,جزر فرجين البريطانية,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,26.01
2020,BULGARIA,R5-EUROPE,EASTERN EUROPE,بلغاريا,أوروبا الشرقية,R5-أوروبا,0.0
2020,CAYMAN ISLANDS,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,جزر كيمان,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,425.01
2020,CHINA,R3-ASIA,EASTERN ASIA,الصين,شرقي آسيا,R3-آسيا,8.66
2020,DENMARK,R5-EUROPE,NORTHERN EUROPE,الدنمارك,أوروبا الشمالية,R5-أوروبا,60.4
2020,GERMANY,R5-EUROPE,WESTERN EUROPE,ألمانيا,أوروبا الغربية,R5-أوروبا,114.62
2020,GHANA,R6-AFRICA,SUB-SAHARAN AFRICA,غانا,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,0.0
2020,GUERNSEY,R5-EUROPE,NORTHERN EUROPE,غيرنزي,أوروبا الشمالية,R5-أوروبا,-1.77
2020,"HONG KONG, CHINA",R3-ASIA,EASTERN ASIA,هونج كونج,شرقي آسيا,R3-آسيا,33.12
2020,ITALY,R5-EUROPE,SOUTHERN EUROPE,ايطاليا,أوروبا الجنوبية,R5-أوروبا,21.98
2020,JERSEY,R5-EUROPE,NORTHERN EUROPE,جيرزي,أوروبا الشمالية,R5-أوروبا,-0.28
2020,JORDAN,R2-OTHER ARAB COUNTRIES,WESTERN ASIA,الاردن,غربي آسيا,R2-الدول العربية الأخرى,-59.0
2020,KENYA,R6-AFRICA,SUB-SAHARAN AFRICA,كينيا,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,-0.99
2020,LATVIA,R5-EUROPE,NORTHERN EUROPE,لاتيفيا,أوروبا الشمالية,R5-أوروبا,-0.97
2020,MALTA,R5-EUROPE,SOUTHERN EUROPE,مالطا,أوروبا الجنوبية,R5-أوروبا,
2020,MARSHALL ISLANDS,R7-OCEANIA,MICRONESIA,جزر المارشال,ميكرونيزيا,R7-أوقيانيسيا,48.01
2020,MOZAMBIQUE,R6-AFRICA,SUB-SAHARAN AFRICA,موزمبيق,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,0.0
2020,NETHERLANDS,R5-EUROPE,WESTERN EUROPE,هولندا,أوروبا الغربية,R5-أوروبا,62.5
2020,NEW ZEALAND,R7-OCEANIA,AUSTRALIA AND NEW ZEALAND,نيوزليندا,أستراليا ونيوزيلندا,R7-أوقيانيسيا,0.97
2020,ROMANIA,R5-EUROPE,EASTERN EUROPE,رومانيا,أوروبا الشرقية,R5-أوروبا,0.0
2020,RUSSIAN FEDERATION,R5-EUROPE,EASTERN EUROPE,روسيا الاتحادية,أوروبا الشرقية,R5-أوروبا,0.08
2020,SERBIA,R5-EUROPE,SOUTHERN EUROPE,جمهورية صربيا,أوروبا الجنوبية,R5-أوروبا,0.0
2020,SLOVAKIA,R5-EUROPE,EASTERN EUROPE,سلوفاكيا,أوروبا الشرقية,R5-أوروبا,0.04
2020,SOUTH AFRICA,R6-AFRICA,SUB-SAHARAN AFRICA,جمهورية افريقيا الجنوبية,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,-0.17
2020,SOUTH KOREA,R3-ASIA,EASTERN ASIA,كوريا الجنوبية,شرقي آسيا,R3-آسيا,29.31
2020,SUDAN,R2-OTHER ARAB COUNTRIES,NORTH AFRICA,السودان,أفريقيا الشمالية,R2-الدول العربية الأخرى,-3.02
2020,SWEDEN,R5-EUROPE,NORTHERN EUROPE,السويد,أوروبا الشمالية,R5-أوروبا,6.9
2020,THAILAND,R3-ASIA,SOUTH-EASTERN ASIA,تايلاند,جنوب شرقي آسيا,R3-آسيا,-0.5
2020,UNITED KINGDOM,R5-EUROPE,NORTHERN EUROPE,المملكة المتحدة,أوروبا الشمالية,R5-أوروبا,114.99
2020,UNITED STATES OF AMERICA,R4-AMERICAS,NORTHERN AMERICA,الولايات المتحدة الامريكية,أمريكا الشمالية,R4-أمريكا,145.65
2021,ARGENTINA,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,الارجنتين,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,0.08
2021,BAHAMAS,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,باهاماس,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,85.43
2021,BELGIUM,R5-EUROPE,WESTERN EUROPE,بلجيكا,أوروبا الغربية,R5-أوروبا,7.12
2021,BERMUDA,R4-AMERICAS,NORTHERN AMERICA,برمودا,أمريكا الشمالية,R4-أمريكا,-12.83
2021,CHILE,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,تشيلي,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,0.0
2021,COLOMBIA,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,كولومبيا,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,0.05
2021,COMOROS,R2-OTHER ARAB COUNTRIES,SUB-SAHARAN AFRICA,جزر القمر,أفريقيا جنوب الصحراء الكبرى,R2-الدول العربية الأخرى,0.0
2021,CROATIA,R5-EUROPE,SOUTHERN EUROPE,كرواتيا,أوروبا الجنوبية,R5-أوروبا,0.01
2021,ETHIOPIA,R6-AFRICA,SUB-SAHARAN AFRICA,اثيوبيا,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,0.0
2021,FRANCE,R5-EUROPE,WESTERN EUROPE,فرنسا,أوروبا الغربية,R5-أوروبا,-124.12
2021,GREECE,R5-EUROPE,SOUTHERN EUROPE,اليونان,أوروبا الجنوبية,R5-أوروبا,0.42
2021,JAPAN,R3-ASIA,EASTERN ASIA,اليابان,شرقي آسيا,R3-آسيا,307.43
2021,KENYA,R6-AFRICA,SUB-SAHARAN AFRICA,كينيا,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,-0.22
2021,LATVIA,R5-EUROPE,NORTHERN EUROPE,لاتيفيا,أوروبا الشمالية,R5-أوروبا,-1.37
