Rank,Country,Crime Index,Safety Index
1,Venezuela,82.1,17.9
2,Papua New Guinea,80.4,19.6
3,Afghanistan,78.4,21.6
4,Haiti,78.3,21.7
5,South Africa,75.5,24.5
6,Honduras,74.3,25.7
7,Trinidad And Tobago,70.8,29.2
8,Syria,69.1,30.9
9,Guyana,68.8,31.2
10,Jamaica,67.5,32.5
11,Peru,67.5,32.5
12,Somalia,66.7,33.3
13,Brazil,66.1,33.9
14,Nigeria,65.8,34.2
15,Angola,65.8,34.2
16,Namibia,64.6,35.4
17,Cameroon,64.2,35.8
18,Argentina,64,36
19,Mozambique,63.7,36.3
20,Bangladesh,62.5,37.5
21,El Salvador,62.1,37.9
22,Bolivia,62,38
23,Puerto Rico,61.7,38.3
24,Us Virgin Islands,61.2,38.8
25,Dominican Republic,61.1,38.9
26,Colombia,60.8,39.2
27,Ecuador,60.7,39.3
28,Zimbabwe,60.6,39.4
29,Libya,60.4,39.6
30,Bahamas,60.3,39.7
31,Guatemala,60.1,39.9
32,Chile,58.7,41.3
33,Ivory Coast,57.5,42.5
34,Kenya,56.8,43.2
35,Fiji,56.7,43.3
36,Uganda,55.9,44.1
37,Maldives,55.2,44.8
38,France,54.6,45.4
39,Tanzania,54.4,45.6
40,Mexico,54.1,45.9
41,Kyrgyzstan,53.9,46.1
42,Costa Rica,53.7,46.3
43,Mongolia,53.5,46.5
44,Cambodia,53,47
45,Botswana,52.6,47.4
46,Belize,52.3,47.7
47,Uruguay,51.9,48.1
48,Malaysia,51.6,48.4
49,Belarus,51.4,48.6
50,Algeria,51.4,48.6
51,Ethiopia,51.4,48.6
52,North Korea,50.7,49.3
53,Paraguay,50.6,49.4
54,Nicaragua,50.2,49.8
55,Myanmar,50,50
56,Iran,49.8,50.2
57,United States,49.2,50.8
58,Belgium,48.9,51.1
59,Sweden,48.1,51.9
60,Mauritius,48.1,51.9
61,Zambia,47.9,52.1
62,Italy,47.3,52.7
63,New Zealand,47.1,52.9
64,Morocco,47.1,52.9
65,Egypt,47,53
66,United Kingdom,46.9,53.1
67,Ukraine,46.8,53.2
68,Australia,46.7,53.3
69,Barbados,46.6,53.4
70,Greece,46.5,53.5
71,Lebanon,46.5,53.5
72,Kazakhstan,46.4,53.6
73,Ireland,46.1,53.9
74,Iraq,46,54
75,Indonesia,45.9,54.1
76,Moldova,45.7,54.3
77,Sudan,45.5,54.5
78,Albania,45.4,54.6
79,Canada,44.8,55.2
80,Tunisia,44.7,55.3
81,India,44.4,55.6
82,Ghana,44.1,55.9
83,Panama,44.1,55.9
84,Vietnam,44.1,55.9
85,Pakistan,42.8,57.2
86,Philippines,42.6,57.4
87,Bosnia And Herzegovina,42.5,57.5
88,Sri Lanka,42.2,57.8
89,Palestine,41.2,58.8
90,Jordan,40.7,59.3
91,North Macedonia,40.7,59.3
92,Kosovo (Disputed Territory),40.2,59.8
93,Turkey,40.2,59.8
94,Malta,40,60
95,Russia,39.7,60.3
96,Serbia,38.5,61.5
97,Thailand,38.3,61.7
98,Germany,38,62
99,Nepal,37.5,62.5
100,Bulgaria,37.5,62.5
101,Latvia,37.3,62.7
102,Montenegro,36.9,63.1
103,Spain,35.8,64.2
104,Luxembourg,34,66
105,Hungary,33.8,66.2
106,Lithuania,33.2,66.8
107,Romania,32.8,67.2
108,Kuwait,32.6,67.4
109,Cyprus,32.6,67.4
110,Norway,32.5,67.5
111,Israel,32.2,67.8
112,Cuba,32.2,67.8
113,Azerbaijan,31.7,68.3
114,Slovakia,31.3,68.7
115,Uzbekistan,31.3,68.7
116,Portugal,30.7,69.3
117,Poland,29.2,70.8
118,Brunei,29.2,70.8
119,Austria,27.6,72.4
120,Rwanda,27.3,72.7
121,Czech Republic,26.8,73.2
122,Denmark,26.6,73.4
123,Finland,26.5,73.5
124,Georgia,26.2,73.8
125,Netherlands,26.2,73.8
126,Croatia,26.1,73.9
127,China,25.8,74.2
128,South Korea,25.3,74.7
129,Iceland,25,75
130,Switzerland,24.9,75.1
131,Monaco,24.7,75.3
132,Estonia,24.5,75.5
133,Saudi Arabia,24.3,75.7
134,Slovenia,24.2,75.8
135,Bahrain,24.2,75.8
136,Singapore,23.1,76.9
137,Japan,22.9,77.1
138,Hong Kong (China),21.7,78.3
139,Armenia,21.6,78.4
140,Oman,19.6,80.4
141,Isle Of Man,17.9,82.1
142,Taiwan,16.1,83.9
143,United Arab Emirates,14.6,85.4
144,Qatar,14.3,85.7
