Year,Quarter,Contribution Percentage of the Economic Sectors to Quarterly GDP By Type of Activities Producing Goods or Services (Current Prices),نسبة مساهمة القطاعات الاقتصادية في الناتج المحلي الإجمالي الربعي بحسب نوع الإنتاج (سلع/خدمات) بالأسعار الجارية,Contribution Percentage of the Economic Activities to Quarterly GDP By Type of Activities Producing Goods or Services (Current Prices),نسبة مساهمة الأنشطة الاقتصادية في الناتج المحلي الإجمالي الربعي بحسب نوع الإنتاج (سلع/خدمات) بالأسعار الجارية,"Value 
BD Million"
2018,Q1,Activities Producing Goods,الأنشطة المنتجة للسلع,Mining,المناجم,12.2512959608621
2018,Q3,Activities Producing Goods,الأنشطة المنتجة للسلع,Manufacturing,الصناعات,17.61372046105458
2018,Q4,Activities Producing Goods,الأنشطة المنتجة للسلع,Manufacturing,الصناعات,17.399607722796194
2018,Q2,Activities Producing Goods,الأنشطة المنتجة للسلع,Electricity & Water,الكهرباء والماء,1.2615811480433445
2018,Q3,Activities Producing Goods,الأنشطة المنتجة للسلع,Electricity & Water,الكهرباء والماء,1.2793800143170646
2018,Q1,Activities Producing Goods,الأنشطة المنتجة للسلع,Other Goods Industries,الصناعات الأخرى المنتجة للسلع,1.2868265497190292
2018,Q3,Activities Producing Goods,الأنشطة المنتجة للسلع,Other Goods Industries,الصناعات الأخرى المنتجة للسلع,1.2369799181859487
2018,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Wholesale & Retail Trade,تجارة الجملة والتجزئة,4.355783522539606
2018,Q2,Activities Producing Services,الأنشطة المنتجة للخدمات,Financial Services,المشروعات المالية,16.02938672729544
2018,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Busniness Services,خدمات الأعمال,1.5322783280930552
2019,Q1,Activities Producing Goods,الأنشطة المنتجة للسلع,Mining,المناجم,12.817505996442982
2019,Q3,Activities Producing Goods,الأنشطة المنتجة للسلع,Mining,المناجم,14.059539739052001
2019,Q4,Activities Producing Goods,الأنشطة المنتجة للسلع,Manufacturing,الصناعات,17.804335801185122
2019,Q2,Activities Producing Goods,الأنشطة المنتجة للسلع,Construction,البناء والتشييد,8.011249931531422
2019,Q4,Activities Producing Goods,الأنشطة المنتجة للسلع,Construction,البناء والتشييد,8.444479053619911
2019,Q2,Activities Producing Goods,الأنشطة المنتجة للسلع,Electricity & Water,الكهرباء والماء,1.2671226664443342
2019,Q3,Activities Producing Goods,الأنشطة المنتجة للسلع,Electricity & Water,الكهرباء والماء,1.310301747648466
2019,Q3,Activities Producing Goods,الأنشطة المنتجة للسلع,Other Goods Industries,الصناعات الأخرى المنتجة للسلع,1.3091748693272403
2019,Q4,Activities Producing Goods,الأنشطة المنتجة للسلع,Other Goods Industries,الصناعات الأخرى المنتجة للسلع,1.3729604423537094
2019,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Hotels & Restaurants,الفنادق والمطاعم,2.409154049446407
2019,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Transport & Communications,المواصلات والاتصالات,8.173719688530564
2019,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Transport & Communications,المواصلات والاتصالات,7.943973999438603
2019,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Financial Services,المشروعات المالية,15.455047115403628
2019,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Busniness Services,خدمات الأعمال,1.5999136137090673
2019,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Busniness Services,خدمات الأعمال,1.5853788232296266
2019,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Other Services Industries,الصناعات الأخرى المنتجة للخدمات,18.37382320197685
2019,Q2,Activities Producing Services,الأنشطة المنتجة للخدمات,Real Estate,العقارات,3.4963392389182557
2019,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Real Estate,العقارات,3.566451161332953
2020,Q3,Activities Producing Goods,الأنشطة المنتجة للسلع,Mining,المناجم,10.240054191062935
2020,Q2,Activities Producing Goods,الأنشطة المنتجة للسلع,Manufacturing,الصناعات,18.501974795249783
2020,Q3,Activities Producing Goods,الأنشطة المنتجة للسلع,Manufacturing,الصناعات,18.86807729132577
2020,Q4,Activities Producing Goods,الأنشطة المنتجة للسلع,Manufacturing,الصناعات,19.119604458386984
2020,Q1,Activities Producing Goods,الأنشطة المنتجة للسلع,Construction,البناء والتشييد,8.721601448950683
2020,Q2,Activities Producing Goods,الأنشطة المنتجة للسلع,Other Goods Industries,الصناعات الأخرى المنتجة للسلع,1.5472937495717343
2020,Q4,Activities Producing Goods,الأنشطة المنتجة للسلع,Other Goods Industries,الصناعات الأخرى المنتجة للسلع,1.4794448168768337
2020,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Wholesale & Retail Trade,تجارة الجملة والتجزئة,4.569704094051278
2020,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Wholesale & Retail Trade,تجارة الجملة والتجزئة,4.411046493197549
2020,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Wholesale & Retail Trade,تجارة الجملة والتجزئة,4.366314181129643
2020,Q2,Activities Producing Services,الأنشطة المنتجة للخدمات,Hotels & Restaurants,الفنادق والمطاعم,1.1157586488191142
2020,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Hotels & Restaurants,الفنادق والمطاعم,1.69541056136913
2020,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Hotels & Restaurants,الفنادق والمطاعم,1.4109145005417723
2020,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Transport & Communications,المواصلات والاتصالات,6.210669984413266
2020,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Financial Services,المشروعات المالية,15.664927464702114
2020,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Financial Services,المشروعات المالية,18.30949162139402
2020,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Busniness Services,خدمات الأعمال,1.5057139349096815
2020,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Busniness Services,خدمات الأعمال,1.4533795327082484
2020,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Real Estate,العقارات,3.774514227043975
2021,Q1,Activities Producing Goods,الأنشطة المنتجة للسلع,Mining,المناجم,13.21294549284022
2021,Q3,Activities Producing Goods,الأنشطة المنتجة للسلع,Mining,المناجم,15.687415430080861
2021,Q4,Activities Producing Goods,الأنشطة المنتجة للسلع,Mining,المناجم,14.561640268819001
2021,Q1,Activities Producing Goods,الأنشطة المنتجة للسلع,Manufacturing,الصناعات,18.47898853466137
2021,Q3,Activities Producing Goods,الأنشطة المنتجة للسلع,Manufacturing,الصناعات,19.80280240411747
2021,Q4,Activities Producing Goods,الأنشطة المنتجة للسلع,Electricity & Water,الكهرباء والماء,1.3122056552328947
2021,Q3,Activities Producing Goods,الأنشطة المنتجة للسلع,Other Goods Industries,الصناعات الأخرى المنتجة للسلع,1.3849573818866787
2021,Q4,Activities Producing Goods,الأنشطة المنتجة للسلع,Other Goods Industries,الصناعات الأخرى المنتجة للسلع,1.2928842804455116
2021,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Wholesale & Retail Trade,تجارة الجملة والتجزئة,4.263869377640238
2021,Q2,Activities Producing Services,الأنشطة المنتجة للخدمات,Wholesale & Retail Trade,تجارة الجملة والتجزئة,4.033269862032012
2021,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Hotels & Restaurants,الفنادق والمطاعم,1.360744921656571
